filename,slice,model,psnr,ssim,nmse,psnr_roi,nmse_roi
file1000000.h5,13,unet_attention_gates_l1_roi_agate,29.128849203805757,[0.67788539],0.04408549,26.149086877716925,0.013469534
file1000000.h5,13,unet_full_attention_l1_roi_attn_agate,28.65938452059952,[0.61590858],0.04911816,26.09983086334745,0.013623168
file1000000.h5,14,unet_baseline_l1,28.067713720511883,[0.68881331],0.056584693,23.13925777803494,0.02358691
file1000000.h5,14,unet_cbam_l1_attn,29.037285978344975,[0.7890444],0.045262832,24.857071156228084,0.015881436
file1000000.h5,14,unet_roi_focus_l1_roi,27.74240269017286,[0.64637849],0.060985994,23.373242777540696,0.022349747
file1000000.h5,14,unet_attention_gates_l1_roi_agate,28.640853688522796,[0.67839313],0.049588956,24.581732576870564,0.016920906
file1000000.h5,14,unet_full_attention_l1_roi_attn_agate,28.364845873874977,[0.63847303],0.05284279,24.447372581113,0.017452579
file1000000.h5,15,unet_baseline_l1,27.852905501524404,[0.68355856],0.060427446,23.395382588045074,0.0335519
file1000000.h5,15,unet_cbam_l1_attn,28.845106403516567,[0.78511608],0.0480855,26.96109960273512,0.014762007
file1000000.h5,15,unet_roi_focus_l1_roi,27.41639275115705,[0.62130775],0.06681678,24.130726746992718,0.028325837
file1000000.h5,15,unet_attention_gates_l1_roi_agate,28.40342789647536,[0.67693153],0.053233135,23.430022486427198,0.03328535
file1000000.h5,15,unet_full_attention_l1_roi_attn_agate,27.762874018750935,[0.61103963],0.061693206,23.255831164282128,0.03464753
file1000000.h5,19,unet_baseline_l1,26.38409636005666,[0.69500619],0.08555282,20.355953795513315,0.23837642
file1000000.h5,19,unet_cbam_l1_attn,27.099301276686845,[0.6953331],0.07256278,21.424067573897716,0.18640262
file1000000.h5,19,unet_roi_focus_l1_roi,26.193801320097187,[0.59457675],0.08938483,20.496634698842225,0.2307785
file1000000.h5,19,unet_attention_gates_l1_roi_agate,26.97354897523201,[0.67045344],0.074694574,21.433455838114025,0.1860001
file1000000.h5,19,unet_full_attention_l1_roi_attn_agate,25.833541792410575,[0.58185892],0.097115785,21.47602015355549,0.18418603
file1000000.h5,20,unet_baseline_l1,26.189725605126437,[0.73938732],0.08837938,22.85917576572637,0.24456419
file1000000.h5,20,unet_cbam_l1_attn,26.897364050344915,[0.73176672],0.07509087,23.952134265571342,0.1901503
